arabinose_transporters	galactose_transporters	glucose_transporters	lactose_transporters	mannitol_transporters	mannose_transporters	polysia_transporters	sia_transporters	ribose_transporters	sucrose_transporters
A0A2U1TU01		A0A0A1YV47	A0A829I7S3		A0A2N6SLE7	A0A0Q7MRZ9		A0A4P2QRX4	
A0A2U1UPM2		A0A0A2DRH3	A0A829IEI5		A0A2N6SLF6	A0A0Q7N167		A0A4P2QUP6	
A0A2U1ZY11		A0A0A2DSE4	A0A832EKM7		A0A2N6SLH2	A0A0Q7PPS2		A0A4P2QWU5	
A0A2U1ZY27		A0A0A2EAF5	A0A832N3L1		A0A2N6UC77	A0A0Q7PVC6		A0A4P2R585	
A0A2U2D8V0		A0A0A2F4J8	A0A833LB58		A0A2N7AR07	A0A0Q7PY96		A0A4P5Y0Q0	
A0A2U2DHX8		A0A0A2G6G0	A0A833P592		A0A2N7AUM6	A0A0Q7QJT8		A0A4P6ZK32	
A0A2U2HDV2		A0A0A2HC11	A0A833P6J3		A0A2N7AV95	A0A0Q7RY62		A0A4P6ZLY7	
A0A2U3EZP2		A0A0A2HCE3	A0A837FAT5		A0A2N7AVA2	A0A0Q7S1U5		A0A4P7YLK6	
A0A2U3IAS2		A0A0A2HKH5	A0A837FH58		A0A2N7NM29	A0A0Q7SYX5		A0A4P7YR39	
A0A2U3N328		A0A0A2MDD1	A0A837G218		A0A2N7VCX7	A0A0Q7TA97		A0A4P7YRN2	
A0A2U8TVR2		A0A0A2N3K8	A0A837GSS1		A0A2N7VVW3	A0A0Q7TNB4		A0A4P7YSI5	
A0A2U9SGX7		A0A0A2RGS5	A0A837GUN8		A0A2N7W7M1	A0A0Q7U6S6		A0A4Q0RT40	
A0A2U9SRH1		A0A0A2TJ18	A0A837K5J7		A0A2N7WPN0	A0A0Q7UCK3		A0A4Q0RT41	
A0A2U9T5Z9		A0A0A2U5S6	A0A837NVA5		A0A2N8KQI4	A0A0Q7VIP1		A0A4Q0STV3	
A0A2V1MKB0		A0A0A2URW2	A0A843R465		A0A2N8LAB6	A0A0Q7VTG7		A0A4Q2AXA2	
A0A2V2AEQ7		A0A0A2UVE5	A0A843YBB2		A0A2N8LAT0	A0A0Q7VYQ2		A0A4Q7I643	
A0A2V2BMU5		A0A0A2X5S2	A0A844AU46		A0A2N8LAW2	A0A0Q7W682		A0A4Q8MYG0	
A0A2V2RRE8		A0A0A3B887	A0A844BIH3		A0A2N8LDV8	A0A0Q7WAZ8		A0A4S2BDZ1	
A0A2V3KR16		A0A0A3FB76	A0A844D042		A0A2N8LE49	A0A0Q7YLW0		A0A4S2EAQ1	
A0A2V4TJI8		A0A0A3FMF8	A0A844EBI1		A0A2N8PS32	A0A0Q7YVS1		A0A4S3B3V4	
A0A2V5FNP3		A0A0A3IPW1	A0A844H1Q9		A0A2N8PSA9	A0A0Q8A360		A0A4U4EHW2	
A0A2W0ELY9		A0A0A3Z7H8	A0A844HQ32		A0A2N8PSK1	A0A0Q8A759		A0A4U8Q0W2	
A0A2W0G8B7		A0A0A3Z7N3	A0A844J5D4		A0A2N8PSK4	A0A0Q8A7N5		A0A4U8Q1P4	
A0A2W0H2E9		A0A0A3Z891	A0A844W7V5		A0A2N8PSL3	A0A0Q8AJG7		A0A4U8Q1P7	
A0A2W0H2F0		A0A0A5GGU5	A0A845DTM1		A0A2N8PSL4	A0A0Q8CME8		A0A4U9HTX6	
A0A2W1B739		A0A0A5ID77	A0A845ES33		A0A2N8PSL5	A0A0Q8CQY2		A0A4U9T216	
A0A2W1LBR3		A0A0A5JPE7	A0A845F6N0		A0A2N8PTC9	A0A0Q8CRB2		A0A4U9WAE2	
A0A2W1LP96		A0A0A6CVE5	A0A845M3S7		A0A2N8PTM9	A0A0Q8D8M6		A0A4U9WAQ4	
A0A2W4EP77		A0A0A6D226	A0A846Z425		A0A2N8PTN2	A0A0Q8DD59		A0A4V0IJJ4	
A0A2W6NGA9		A0A0A6DAJ2	A0A847H811		A0A2N8PUJ4	A0A0Q8DR29		A0A4V0IKN3	
A0A2W6NH34		A0A0A6QSP1	A0A848B3U3		A0A2N8PW00	A0A0Q8E890		A0A4V0XIG0	
A0A2W6PAH4		A0A0A6VAZ9	A0A850JHW6		A0A2N8PWS9	A0A0Q8EM26		A0A4V1L3E3	
A0A2W7C4K4		A0A0A6VE22	A0A853U895		A0A2N8PWU6	A0A0Q8EYK1		A0A4V6M337	
A0A2W7JIE1		A0A0A6VGU2	A0A853UZC8		A0A2N8PWV5	A0A0Q8EZ43		A0A4V7TUS3	
A0A2W7LEK0		A0A0A7IBD4	A0A853X921		A0A2N8PYU8	A0A0Q8F0Z8		A0A4Y7VS68	
A0A2W7LX81		A0A0A7KDN4	A0A855IJI6		A0A2N8PZ23	A0A0Q8GAC7		A0A507SN01	
A0A2X0W046		A0A0A7MIH9	A0A855S8B1		A0A2N8Q0R2	A0A0Q8HTZ7		A0A508WXU0	
A0A2X1NA92		A0A0A7RZE3	A0A855YBP2		A0A2N8Q0S5	A0A0Q8J1P5		A0A508X0F6	
A0A2X1ND83		A0A0A7T6X0	A0A856N8L2		A0A2N8Q1Y2	A0A0Q8J7C0		A0A508X0J1	
A0A2X1QCR6		A0A0A7UVU2	A0A856N8U6		A0A2N8Q1Z3	A0A0Q8JLZ5		A0A508X251	
A0A2X2C9H3		A0A0A7UVW9	A0A892RLP9		A0A2N9LLP7	A0A0Q8LF84		A0A508X2L6	
A0A2X2CMU5		A0A0A7UZ49	A0A895YHM9		A0A2N9YV97	A0A0Q8LI54		A0A508X3D5	
A0A2X2EEX6		A0A0A8SJX1	A0A8A4KE20		A0A2P1VQ02	A0A0Q8LTP1		A0A508X3J0	
A0A2X2H6H0		A0A0B0CU10	A0A8D6XTS0		A0A2P4R7Y1	A0A0Q8LYQ9		A0A508X3L5	
A0A2X2IAS3		A0A0B0D6Y9	A0A8E0RAR2		A0A2P4UR50	A0A0Q8N976		A0A508X5M9	
A0A2X2IJT5		A0A0B0IGP4	A0A8E0WS43		A0A2P5GLI5	A0A0Q8PE42		A0A509CDG6	
A0A2X2VJT5		A0A0B0IP03	A0A8E1V2I0		A0A2P5GLJ8	A0A0Q8PYD0		A0A509CV67	
A0A2X2VLK2		A0A0B0S9F3	A0A8E1X319		A0A2P5GNZ9	A0A0Q8Q2D2		A0A511DHG8	
A0A2X2VRM5		A0A0B1R5X4	A0A8E2IA36		A0A2P5GQJ3	A0A0Q8Q362		A0A532VEF2	
A0A2X3CCW2		A0A0B1R6B0	A0A8E2R5X8		A0A2P5SWS4	A0A0Q8QBR2		A0A556UED8	
A0A2X3CG27		A0A0B1R6T4	A0A8E3PM63		A0A2P5SYM4	A0A0Q8QP66		A0A564TVE5	
A0A2X3CG52		A0A0B1R8K6	A0A8E3PTR8		A0A2P5T0V9	A0A0Q8QQT0		A0A564U970	
A0A2X3CHF7		A0A0B1Z3H9	A0A8G1ZIZ2		A0A2P5T303	A0A0Q8R8L2		A0A564UVU1	
A0A2X3DWG9		A0A0B1ZKZ2	A0A8H1L4Y2		A0A2P7APB5	A0A0Q8TCU6		A0A5B9QAS5	
A0A2X3FBW1		A0A0B2XMC2	A0A8I0II26		A0A2P7B4Z5	A0A0Q8TKE0		A0A5B9QXB4	
A0A2X3FF14		A0A0B2YJD3	A0A8J2TXR1		A0A2P7TZS2	A0A0Q8U3G0		A0A5B9WB67	
A0A2X3H417		A0A0B3VPS5	A0A8J2VI64		A0A2P8AUM8	A0A0Q8U4C0		A0A5C1AHZ4	
A0A2X3JJ90		A0A0B3WS40	A0A8J2VLD6		A0A2P8K6G1	A0A0Q8UF14		A0A5C4TJG9	
A0A2X3JXB9		A0A0B4DAY4	A0A8J2YE60		A0A2P8K795	A0A0Q8UMQ4		A0A5E4P443	
A0A2X3JZ15		A0A0B4ERE3	A0A8J3EGD9		A0A2P8VKV2	A0A0Q8UTW5		A0A5E7ZY93	
A0A2X4UL92		A0A0B4S4B6	A0A8J3H1J6		A0A2R3JPJ1	A0A0Q8V4U7		A0A5E7ZZP6	
A0A2X4XPB8		A0A0B4SDG7	A0A8J3MC53		A0A2R3JPJ9	A0A0Q8V5C3		A0A5E8A3X3	
A0A2Z2KGT3		A0A0B4SDX5	A0A8T4EX06		A0A2R3JQI2	A0A0Q8VNC4		A0A5E8AAW0	
A0A2Z2KML4		A0A0B5AJI4	A0A8T4HNM7		A0A2R3JXW1	A0A0Q8WIS7		A0A5K1KSG1	
A0A2Z3X6U5		A0A0B5ARP4	A0A8X8DT83		A0A2R3MXA1	A0A0Q8WJ84		A0A5N1IDC2	
A0A2Z4RRX5		A0A0B5D8C2	A0A916Q8R0		A0A2R3MY48	A0A0Q8XUS3		A0A5P6NR84	
A0A2Z4UC62		A0A0B5DG79	A0A916QYZ2		A0A2R3N0Y6	A0A0Q8XYR7		A0A5P9D3X3	
A0A2Z4YGH7		A0A0B5EVA1	A0A916S9K4		A0A2R3N2W9	A0A0Q8XYR8		A0A5Q4Z1P8	
A0A2Z5AFJ2		A0A0B5I735	A0A916SBK4		A0A2R4DAK6	A0A0Q8Y0C7		A0A5Q4ZKY8	
A0A2Z5MHD0		A0A0B5QHU2	A0A916TSW8		A0A2R4HXZ0	A0A0Q8Z6S7		A0A5R9BWM3	
A0A2Z5MHH1		A0A0B5QX72	A0A917AFF9		A0A2R4NTC2	A0A0Q8ZF08		A0A5S9I2V8	
A0A2Z5MQY6		A0A0B5QXR2	A0A917CZA1		A0A2S0I5R8	A0A0Q8ZVC9		A0A5X9ZPJ6	
A0A2Z5N5X9		A0A0B5QYP6	A0A917D119		A0A2S0WK34	A0A0Q9B0U4		A0A652ZTS4	
A0A316H6D8		A0A0B5W3C8	A0A917EL63		A0A2S1AAC6	A0A0Q9CFV6		A0A652ZWW5	
A0A317KWQ5		A0A0B5WHD4	A0A917EXP7		A0A2S1LW43	A0A0Q9CTD4		A0A652ZX17	
A0A317KXP8		A0A0B6D2T5	A0A917FAV7		A0A2S3QCD1	A0A0Q9D0B0		A0A652ZX32	
A0A317Q050		A0A0B6D4P4	A0A917N554		A0A2S4MW62	A0A0Q9D589		A0A653FJ01	
A0A318CJA5		A0A0B6S373	A0A917PQ63		A0A2S4S1Y8	A0A0Q9DAI0		A0A653KYD7	
A0A318FRA9		A0A0B6S8N9	A0A917S4G1		A0A2S4SQ60	A0A0Q9DE87		A0A653KZ28	
A0A318IRB0		A0A0B7NXP2	A0A917T2J6		A0A2S5C702	A0A0Q9DFV6		A0A653KZW7	
A0A318IWG2		A0A0B8NBB9	A0A918DDG5		A0A2S5G864	A0A0Q9DU45		A0A653LZR1	
A0A318P416		A0A0B8NR56	A0A918ISV6		A0A2S5GKC6	A0A0Q9EQK0		A0A653M070	
A0A327IH24		A0A0B8QL04	A0A918PF61		A0A2S5HKQ2	A0A0Q9HKM0		A0A653M1K4	
A0A327NA97		A0A0B8QU16	A0A918WGU5		A0A2S5HRT9	A0A0Q9IG84		A0A653RTF9	
A0A328FL81		A0A0B8R580	A0A919WKN5		A0A2S5KEH1	A0A0Q9JK02		A0A653RTH4	
A0A328J2Q7		A0A0B8R7W3	A0A919WL99		A0A2S5WI81	A0A0Q9KCS1		A0A653VSV8	
A0A328VZJ2		A0A0B9G051	A0A919WLE2		A0A2S5X259	A0A0Q9KQB1		A0A653W8W0	
A0A328VZL0		A0A0B9H6P7	A0A919WLX4		A0A2S6DFX8	A0A0Q9LJE5		A0A653WAS1	
A0A328W2V0		A0A0C1FCT9	A0A919X2B1		A0A2S6NQS9	A0A0Q9LJF5		A0A653XI16	
A0A329CE76		A0A0C1FCZ9	A0A919XAA6		A0A2S6PCD0	A0A0Q9LM24		A0A653XLD6	
A0A329CSF7		A0A0C1IHZ2	A0A919XYJ8		A0A2S7F4Q9	A0A0Q9M053		A0A654AI90	
A0A329HM32		A0A0C1IN54	A0A919Y2T3		A0A2S7M5L5	A0A0Q9NDK0		A0A654AJ81	
A0A329HVQ9		A0A0C1W8Y2	A0A919YEM2		A0A2S7M5T0	A0A0Q9NIQ9		A0A655CWQ1	
A0A329ISE9		A0A0C1ZN96	A0A920BT22		A0A2S7R7H9	A0A0Q9NMB6		A0A655CWY3	
A0A329QG91		A0A0C2B0C3	A0A920C786		A0A2S7RWZ7	A0A0Q9P1B4		A0A655PR68	
A0A329QLK5		A0A0C2HCG6	A0A920ERI1		A0A2S7RX99	A0A0Q9P1N3		A0A655WRS6	
A0A329QMP4		A0A0C2JD43	A0A920GRX7		A0A2S7RXJ8	A0A0Q9PAB1		A0A655X3J4	
A0A329Y283		A0A0C2K3F1	A0A921F7X4		A0A2S7S346	A0A0Q9PDV7		A0A656BWU1	
A0A330DVG8		A0A0C2N532	A0A921GMN8		A0A2S7VWL9	A0A0Q9PGI5		A0A656QK26	
A0A330GA07		A0A0C2N9J7	A0A921SX43		A0A2S7X917	A0A0Q9PQZ5		A0A656QKE3	
A0A330GRA1		A0A0C2NCA5	A0A922VE04		A0A2S8CKW8	A0A0Q9QH39		A0A656QPD5	
A0A330HU86		A0A0C2VGH7	A0A922VRA6		A0A2S8D839	A0A0Q9QVE5		A0A656VDF7	
A0A344LHT4		A0A0C2VJF1	A0A923LEX7		A0A2S8DFI5	A0A0Q9QX09		A0A656VJV3	
A0A345C8Y5		A0A0C2VWS7	A0A923ZMJ6		A0A2S8QIT9	A0A0Q9RG74		A0A657LKJ4	
A0A345RU36		A0A0C2ZS70	A0A924G8T0		A0A2S8V718	A0A0Q9SGM6		A0A657LQG3	
A0A345V0R3		A0A0C3MCQ1	A0A925A1T0		A0A2S8VUI5	A0A0Q9SJV8		A0A657LRG0	
A0A347WDC9		A0A0C3MGX4	A0A927Q423		A0A2S9HBP3	A0A0Q9SLP2		A0A658QTR6	
A0A348DGF2		A0A0C4YFM3	A0A928KYU4		A0A2S9I830	A0A0Q9SPJ0		A0A658QW36	
A0A349IJZ0		A0A0C5BE46	A0A928XH25		A0A2S9IBU7	A0A0Q9SWD8		A0A658R006	
A0A349IJZ1		A0A0C5C1I1	A0A930AHW9		A0A2S9W1U6	A0A0Q9TIA0		A0A658Z581	
A0A349QSL9		A0A0C5C393	A0A930FC57		A0A2S9W2A6	A0A0Q9TQ39		A0A6A9GVH3	
A0A349QSM0		A0A0C5C5K4	A0A931AMF6		A0A2S9W2G8	A0A0Q9TVX7		A0A6B0BBI9	
A0A349ZSA7		A0A0C5C7Q6	A0A931CH15		A0A2S9XTM4	A0A0Q9TXZ9		A0A6B0CXK4	
A0A349ZSA8		A0A0C5FTQ1	A0A931L6K3		A0A2T0FS92	A0A0Q9U5T1		A0A6B5F3F8	
A0A353C113		A0A0C5G5W7	A0A933PA70		A0A2T0G9C7	A0A0Q9U715		A0A6C0QD57	
A0A353C114		A0A0C5JPD0	A0A934TNF0		A0A2T2X496	A0A0Q9XWN3		A0A6C2CAG4	
A0A353GTX3		A0A0C5WXV4	A0A937HGA7		A0A2T2Y0U4	A0A0Q9Z1J9		A0A6D2GDG9	
A0A353GTX4		A0A0C5XYR8	A0A937VQA2		A0A2T2Y3H1	A0A0Q9Z668		A0A6D2GF38	
A0A353MKP3		A0A0D0FW65	A0A938A0E1		A0A2T3FF71	A0A0Q9ZM33		A0A6D2GF69	
A0A353MKP4		A0A0D0I6G7	A0A938Z7X8		A0A2T3G1K3	A0A0Q9ZT64		A0A6F7W432	
A0A353P0Z9		A0A0D0IC02	A0A939LR37		A0A2T3G1P1	A0A0R0AEZ5		A0A6F8X8D9	
A0A356D7F5		A0A0D0PXF0	A0A939PB11		A0A2T3G685	A0A0R0AP81		A0A6G8ALS1	
A0A356E0L5		A0A0D1A1H0	A0A941R128		A0A2T3ICY4	A0A0R0BBY1		A0A6G8AUU3	
A0A356E0M1		A0A0D1AN58	A0A943A1U1		A0A2T3IRN4	A0A0R0BUK0		A0A6G8AZ58	
A0A357CSR2		A0A0D1AQ78	A0A945A668		A0A2T3IYQ2	A0A0R0CB64		A0A6H9T545	
A0A357D1A2		A0A0D1AQ86	A0A945RTR6		A0A2T3J511	A0A0R0CI73		A0A6H9TN65	
A0A357D1B1		A0A0D1C2G4	A0A945SIB1		A0A2T3J6B2	A0A0R0CIQ8		A0A6I5YEB8	
A0A363N6K6		A0A0D1JSE3	A0A946KZ76		A0A2T3JGL5	A0A0R0CV91		A0A6I7LWV1	
A0A364GWI0		A0A0D1JWF5	A0A946PM56		A0A2T3JU50	A0A0R0DAQ4		A0A6I7Z7X2	
A0A364H2D6		A0A0D1K7U8	A0A946XGV0		A0A2T3JWQ2	A0A0R0E989		A0A6J5IWB6	
A0A364JUR6		A0A0D1LBF2	A0A951FDQ1		A0A2T3KAU2	A0A0R0LJ50		A0A6J5JEM1	
A0A365QMU2		A0A0D1LHL3	A0A952QE85		A0A2T3KSW8	A0A0R0M917		A0A6J5JKX5	
A0A365R1M3		A0A0D1LUV3	A0A957CDZ8		A0A2T3KYN0	A0A0R1FTW9		A0A6L3NLR0	
A0A365TPE1		A0A0D1M496	A0A957WC38		A0A2T3L5D8	A0A0R1GTM1		A0A6L5AE56	
A0A365XU17		A0A0D1R567	A0A957XGY5		A0A2T3LD81	A0A0R1HNP0		A0A6M1XS73	
A0A366E0H8		A0A0D1XAX1	A0A957YI23		A0A2T3LQ25	A0A0R1HSF7		A0A6M1XVX8	
A0A366I4N7		A0A0D3V6K3	A0A957ZZZ8		A0A2T3M6M9	A0A0R1JK47		A0A6M6C4A4	
A0A367VFP5		A0A0D3V6X1	A0A959X0E9		A0A2T3MF72	A0A0R1K723		A0A6N2RD12	
A0A367VNY2		A0A0D3V8C4	A0A960BZ72		A0A2T3MFI8	A0A0R1KSI0		A0A6N2SWC0	
A0A367WEA6		A0A0D5A7T5	A0A964YYM1		A0A2T3MJA8	A0A0R1L2R0		A0A6N6V962	
A0A367WQ51		A0A0D5NMM9	A0A965D4Q4		A0A2T3NL75	A0A0R1LXB1		A0A6P1ERF1	
A0A368K7Y2		A0A0D6HRX5	A0A965FVF9		A0A2T3P0W1	A0A0R1M2X1		A0A6P1WWH1	
A0A368LI77		A0A0D6P5P8	A0A965JID5		A0A2T3RN31	A0A0R1NWX0		A0A6P2GCC1	
A0A369FSR0		A0A0D6SWP2	A0A966IP70		A0A2T3VSS8	A0A0R1R2F4		A0A6P2GY98	
A0A370B3Y1		A0A0D6TR53	A0A966MB92		A0A2T4LW26	A0A0R1S6A5		A0A6P2HTF4	
A0A370NCA3		A0A0D6Z627	A0A966MGB0		A0A2T4LW92	A0A0R1TN69		A0A6P2I8L2	
A0A370NED3		A0A0D6ZAB2	A0A966XFF4		A0A2T4MIP4	A0A0R1UX04		A0A6P2J1D3	
A0A370NGQ2		A0A0D6ZGV0	A0A966Y9K7		A0A2T4N6D5	A0A0R1YN83		A0A6P2J8M3	
A0A370R3Z0		A0A0D6ZIA4	A0A973GC14		A0A2T4PR43	A0A0R1YPT4		A0A6P2JGP3	
A0A370SWG9		A0A0D7CFE8	A0A973PT35		A0A2T4PWI3	A0A0R1ZSR8		A0A6P2KLX9	
A0A372K0K3		A0A0D7KG67	A0A973RAW1		A0A2T4PWQ1	A0A0R2AVE4		A0A6P2L5K1	
A0A375AAI3		A0A0D7KHN9	A0A975LA08		A0A2T4PXR0	A0A0R2B2H6		A0A6P2LN14	
A0A376E3P8		A0A0D7LN72	A0A976HED2		A0A2T4PXS6	A0A0R2CP54		A0A6P2LQV8	
A0A376EFL8		A0A0D7M4K4	A0A976J6C8		A0A2T4PZ51	A0A0R2DED5		A0A6P2MES0	
A0A376EKA5		A0A0D7V398	A0A9C7B4R2		A0A2T4RQW8	A0A0R2E8K0		A0A6P2NIQ6	
A0A376FCU6		A0A0D7WUK4	A0A9C8H643		A0A2T4S5H8	A0A0R2EVM7		A0A6P2Q666	
A0A376FDB8		A0A0D7WZ56	A0A9C8PZ52		A0A2T4S793	A0A0R2FYB4		A0A6P2T8M5	
A0A376HK86		A0A0D7X0C2	A0A9D1YXI4		A0A2T4SBC0	A0A0R2H046		A0A6P2TM16	
A0A376M6B2		A0A0D7X7S6	A0A9D2ERE6		A0A2T4VHQ6	A0A0R2H553		A0A6P2UFD9	
A0A376P7Z7		A0A0D8HUY0	A0A9D2LCU8		A0A2T4VHR7	A0A0R2H677		A0A6P2UKH0	
A0A376RH31		A0A0D8MXN2	A0A9D2PZE0		A0A2T4VHU9	A0A0R2HL12		A0A6P2UWM8	
A0A376RHC5		A0A0D8NRE9	A0A9D6C1F2		A0A2T4Y327	A0A0R2IEC4		A0A6P2W5M1	
A0A376S8S7		A0A0D8PA83	A0A9D7G5L3		A0A2T6X5E4	A0A0R2IK51		A0A6P2WIQ5	
A0A376SAK0		A0A0D8PJB8	A0A9E1XPD0		A0A2T7AQN7	A0A0R2JYC5		A0A6P2WSR2	
A0A376TDQ9		A0A0D8W6B0	A0A9E4IM40		A0A2T7B231	A0A0R2K0K7		A0A6P2XGL9	
A0A376TF71		A0A0D8WA12	A0A9E4M0Z6		A0A2T7BIM5	A0A0R2L4B0		A0A6P2XGN4	
A0A376U7P0		A0A0D8WAH6	A0A9E5A693		A0A2T8L0N3	A0A0R2LGK9		A0A6P2YLM4	
A0A376U9B8		A0A0E0ZTM0	A0A9E5A6I3		A0A2T8L0N6	A0A0R2LQE1		A0A6P3C8W5	
A0A376VID4		A0A0E1NLM1	A0A9E5HCR7		A0A2T8LEU5	A0A0R2M631		A0A6S6XDQ8	
A0A376VJF9		A0A0E2Q3D2	A0A9E5HSF5		A0A2T8M3A2	A0A0R2NKA5		A0A6S6XPN3	
A0A376WX19		A0A0E2Q583	A0A9E6WH94		A0A2T8MIH8	A0A0R2NPZ8		A0A6S6Y255	
A0A376WY67		A0A0E3U6E8	A0A9E8QEH5		A0A2T8MN81	A0A0R2PCB7		A0A7D8IWG2	
A0A377AU66		A0A0E3VR21	A0A9K3T2D5		A0A2T8MN94	A0A0R2PD07		A0A7D9N6E8	
A0A377BAF3		A0A0E3YVM6	A0A9N7AQP8		A0A2T8RC10	A0A0R2PZE1		A0A7G9T564	
A0A377BCL6		A0A0E3ZIF9	A0A9N7B3N3		A0A2T8RDQ0	A0A0R2Q1Z4		A0A7H1MLJ3	
A0A377BMS1		A0A0F0G2Z1	A0A9N7BGP1		A0A2T8RII2	A0A0R2QA07		A0A7L8CGI2	
A0A377BPY1		A0A0F0GFM6	A0A9N7G631		A0A2T8RIR3	A0A0R2QBN5		A0A7R6XMA5	
A0A377DQY0		A0A0F0GNH8	A0A9N7HZS6		A0A2T8THI4	A0A0R2QDI1		A0A7R6XUP9	
A0A377DQZ2		A0A0F0HJP5	A0A9N7J4P3		A0A2T8WX21	A0A0R2QHX6		A0A7R6Y007	
A0A377DSD6		A0A0F0RYT1	A0A9P3B0E8		A0A2T8XDA4	A0A0R2QR49		A0A7R6Y9F4	
A0A377E9W3		A0A0F0YFT4	A0A9Q5JWD4		A0A2T8Y1T1	A0A0R2QSV0		A0A7R6YEM4	
A0A377GZD1		A0A0F1AJE0	A0A9Q5K3U1		A0A2T9IAK0	A0A0R2RE85		A0A7R6YNS8	
A0A377ICV5		A0A0F1BC86	A0A9Q6AC60		A0A2T9Q3T3	A0A0R2SDW4		A0A7R7AJN0	
A0A377K4Z9		A0A0F1J248	A0A9Q6ATM4		A0A2T9VC48	A0A0R2SIV4		A0A7R7AKN8	
A0A377K5C8		A0A0F2T682	A0A9Q6HPN1		A0A2U0MK41	A0A0R2SPQ1		A0A7R7ARY2	
A0A377K5N2		A0A0F3RS60	A0A9Q6MUR1		A0A2U1T8X2	A0A0R2T6X5		A0A7R7AYY3	
A0A377K738		A0A0F4IAQ6	A0A9Q7MPA7		A0A2U1TQ14	A0A0R2TBV7		A0A7R7BGZ3	
A0A377LWK1		A0A0F4ITJ6	A0A9Q9MDI2		A0A2U1TS09	A0A0R2U1L5		A0A7R7BNE4	
A0A377LYZ0		A0A0F4SYG1	A0A9W3LEF6		A0A2U1UT15	A0A0R2V599		A0A7R7BR67	
A0A377P323		A0A0F4V8A8	A0A9W3LSN4		A0A2U3AKI6	A0A0R2XW07		A0A7S4H7A4	
A0A377PM64		A0A0F4VIS2	A0A9W5TWT6		A0A2U3B6H6	A0A0R3F6K7		A0A7S4H7D2	
A0A377TVG5		A0A0F5B743	A0A9W5TWV7		A0A2U3EZX9	A0A0R3F9L9		A0A7S4LXW5	
A0A377TVP0		A0A0F5ERW7	A0A9W5TXM7		A0A2U8EG11	A0A0R3FWR7		A0A7S4LZ22	
A0A377TW29		A0A0F5NDW2	A0A9W5X7R2		A0A2U8EGK3	A0A0R3GWB4		A0A7T1B044	
A0A377TXY1		A0A0F5R139	A0A9W5XSL4		A0A2U8EGM7	A0A0R3IPG0		A0A7U4HDI1	
A0A377TYJ0		A0A0F5VQT8	A0A9W5XSS2		A0A2U8FGW7	A0A0R3KYN6		A0A7U4HF90	
A0A377TYQ9		A0A0F6BAU1	A0A9W6D887		A0A2U8FIH9	A0A0R3MVE4		A0A7U4I070	
A0A377U0D1		A0A0F6BAU3	A0A9W6FPX2		A0A2U8I5D2	A0A0R4J937		A0A7U4KTX6	
A0A377V546		A0A0F6PKV2	A0A9W6H9J3		A0A2U9L4X2	A0A0R9N529		A0A7U4P8B7	
A0A377V725		A0A0F6RDU9	A0A9W6HE68		A0A2V1JT75	A0A0S1AW58		A0A7U4SUC4	
A0A377W1P4		A0A0F6TVB2	A0A9W6HKH1		A0A2V1JZZ2	A0A0S1UFC4		A0A7U4URN9	
A0A377W458		A0A0F6TXJ6	A0A9W6IGA6		A0A2V1MWG1	A0A0S1Y5G5		A0A7U4UV14	
A0A377WK76		A0A0F6ZLI7	A0A9W7VQW7		A0A2V1MZ98	A0A0S1Y8P3		A0A7U6FYR9	
A0A377WMM1		A0A0F6ZLU6	A0A9X0ERR9		A0A2V2FDT8	A0A0S1YMB9		A0A7U9ES56	
A0A377WN30		A0A0F7C1M8	A0A9X0FVI4		A0A2V2L5P1	A0A0S1YWG2		A0A7U9HTE3	
A0A377XCQ7		A0A0F7CHI8	A0A9X1GE12		A0A2V3ZF24	A0A0S2C7Y7		A0A7U9J9B5	
A0A377XDM4		A0A0F7CQ47	A0A9X1K9Z9		A0A2V4DKN0	A0A0S2CFI6		A0A7U9LJR1	
A0A377XG87		A0A0F7D1D7	A0A9X3NLW6		A0A2V4DMQ4	A0A0S2CFJ4		A0A7U9P685	
A0A377XHD4		A0A0F7EED5	A0A9X5X7A2		A0A2V4DP85	A0A0S2CG16		A0A7V7VER9	
A0A377XHL0		A0A0F7FC59	A0A9X5XE40		A0A2V4DRD0	A0A0S2CG21		A0A7V8L6D8	
A0A377ZE26		A0A0F7FCA6	A0A9X5XEL6		A0A2V4DTQ2	A0A0S2CG54		A0A7V8L6L3	
A0A377ZE51		A0A0F7FEW6	A0A9X5XFY3		A0A2V4DUC2	A0A0S2CG89		A0A7X9NLL1	
A0A377ZEB9		A0A0F7HHN0	A0A9X5XLW7		A0A2V4DUC4	A0A0S2CGC6		A0A7X9WF66	
A0A377ZED0		A0A0F7HI51	A0A9X5XM51		A0A2V4DVJ9	A0A0S2CGC8		A0A7Y4UA52	
A0A377ZER0		A0A0F7HKB8	A0A9X6J8T2		A0A2V4DX22	A0A0S2CGF4		A0A7Z0VU66	
A0A377ZEV7		A0A0F7J3B8	A0A9X6RWK4		A0A2V4DXW5	A0A0S2CGG2		A0A7Z1N8S4	
A0A377ZFA9		A0A0F7JAC6	A0A9X7E5K4		A0A2V4DY37	A0A0S2DL56		A0A7Z7LEM9	
A0A377ZFI6		A0A0F7JFB7	A0A9X7GB20		A0A2V4DYJ3	A0A0S2DM63		A0A7Z7LFJ9	
A0A377ZFM8		A0A0F7JRM1	A0A9X7JMD0		A0A2V4E064	A0A0S2ERP1		A0A7Z8ZCX9	
