##  See ftp://ftp.ncbi.nlm.nih.gov/genomes/README_assembly_summary.txt for a description of the columns in this file.
#assembly_accession	bioproject	biosample	taxid	species_taxid	organism_name	infraspecific_name	version_status	assembly_level	ftp_path	genome_size	genome_size_ungapped	gc_percent	total_gene_count	protein_coding_gene_count
GCA_003609895.1	PRJDB4365	SAMD00043229	1280	1280	Staphylococcus aureus	strain=GN3	latest	Complete Genome	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/609/895/GCA_003609895.1_ASM360989v1	2809401	2809401	33.000000	0	0
GCA_007726545.1	PRJNA555718	SAMN12359203	1280	1280	Staphylococcus aureus	strain=B8-13D	latest	Complete Genome	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/007/726/545/GCA_007726545.1_ASM772654v1	2826459	2826459	33.000000	2876	2703
GCA_003855575.1	PRJNA506374	SAMN10458635	1280	1280	Staphylococcus aureus	strain=80wphwpl_v1	latest	Complete Genome	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/855/575/GCA_003855575.1_ASM385557v1	2732619	2732619	33.000000	2763	2590
GCA_007813675.1	PRJNA482667	SAMN09714411	1280	1280	Staphylococcus aureus	strain=13	latest	Complete Genome	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/007/813/675/GCA_007813675.1_ASM781367v1	2737143	2737143	33.000000	2830	2668
GCA_003827835.1	PRJNA480363	SAMN09635551	1280	1280	Staphylococcus aureus	strain=ATCC BAA-39	latest	Complete Genome	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/827/835/GCA_003827835.1_ASM382783v1	2792888	2792888	33.000000	2975	2411
GCA_007726465.1	PRJNA555718	SAMN12353685	1280	1280	Staphylococcus aureus	strain=B2-7A	latest	Complete Genome	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/007/726/465/GCA_007726465.1_ASM772646v1	2856675	2856675	33.000000	2891	2728
GCA_900635255.1	PRJEB6403	SAMEA3491693	1280	1280	Staphylococcus aureus	strain=NCTC13552	latest	Complete Genome	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/635/255/GCA_900635255.1_40415_D02	2750532	2750532	33.000000	2727	2646
GCA_900635265.1	PRJEB6403	SAMEA3491698	1280	1280	Staphylococcus aureus	strain=NCTC12233	latest	Complete Genome	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/635/265/GCA_900635265.1_40574_H02	2846632	2846632	33.000000	2690	2608
GCA_900635305.1	PRJEB6403	SAMEA3504579	1280	1280	Staphylococcus aureus	strain=NCTC4137	latest	Complete Genome	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/635/305/GCA_900635305.1_40961_G01	2750707	2750707	33.000000	2593	2516
GCA_900635315.1	PRJEB6403	SAMEA3518011	1280	1280	Staphylococcus aureus	strain=NCTC9555	latest	Complete Genome	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/635/315/GCA_900635315.1_41255_H01	2843795	2843795	33.000000	2723	2644
GCA_900637155.1	PRJEB6403	SAMEA4076710	1280	1280	Staphylococcus aureus	strain=NCTC13811	latest	Complete Genome	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/637/155/GCA_900637155.1_49386_H02	2955381	2955381	33.000000	2868	2785
GCA_003957315.1	PRJNA509312	SAMN10578731	1280	1280	Staphylococcus aureus	strain=PMB 64-1	latest	Complete Genome	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/957/315/GCA_003957315.1_ASM395731v1	2775972	2775972	33.000000	0	0
GCA_003827915.1	PRJNA231221	SAMN10163180	1280	1280	Staphylococcus aureus	strain=FDAARGOS_504	latest	Complete Genome	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/827/915/GCA_003827915.1_ASM382791v1	2894587	2894587	33.000000	3002	2792
GCA_003945405.1	PRJDB7606	SAMD00148192	1280	1280	Staphylococcus aureus	strain=TUM9458	latest	Complete Genome	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/945/405/GCA_003945405.1_ASM394540v1	2963259	2963259	33.000000	0	0
GCA_900635275.1	PRJEB6403	SAMEA3499061	1280	1280	Staphylococcus aureus	strain=NCTC5660	latest	Complete Genome	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/635/275/GCA_900635275.1_40757_D01	2693779	2693779	33.000000	3006	2929
GCA_900635335.1	PRJEB6403	SAMEA3529261	1280	1280	Staphylococcus aureus	strain=NCTC11965	latest	Complete Genome	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/635/335/GCA_900635335.1_41556_G01	2838411	2838411	33.000000	2686	2606
GCA_900636335.1	PRJEB6403	SAMEA3499041	1280	1280	Staphylococcus aureus	strain=NCTC7988	latest	Complete Genome	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/636/335/GCA_900636335.1_40798_F01	2859840	2859840	33.000000	2728	2647
GCA_003952625.1	PRJNA509314	SAMN10578733	1280	1280	Staphylococcus aureus	strain=PMB 81-4	latest	Complete Genome	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/952/625/GCA_003952625.1_ASM395262v1	2876590	2876590	33.000000	0	0
GCA_003955945.1	PRJNA490564	SAMN10040537	1280	1280	Staphylococcus aureus	strain=O267	latest	Complete Genome	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/955/945/GCA_003955945.1_ASM395594v1	2864632	2864632	33.000000	2748	2646
GCA_900635095.1	PRJEB6403	SAMEA2771254	1280	1280	Staphylococcus aureus	strain=NCTC8317	latest	Complete Genome	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/635/095/GCA_900635095.1_33763_A01	2749900	2749900	33.000000	2599	2518
GCA_900635245.1	PRJEB6403	SAMEA3491692	1280	1280	Staphylococcus aureus	strain=NCTC13142	latest	Complete Genome	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/635/245/GCA_900635245.1_40415_C02	2844405	2844405	33.000000	2742	2658
GCA_900635505.1	PRJEB6403	SAMEA3518006	1280	1280	Staphylococcus aureus	strain=NCTC4163	latest	Complete Genome	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/635/505/GCA_900635505.1_3012STDY6191362	2759837	2759837	33.000000	2619	2538
GCA_900635905.1	PRJEB6403	SAMEA3251419	1280	1280	Staphylococcus aureus	strain=NCTC13616	latest	Complete Genome	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/635/905/GCA_900635905.1_35910_F01	2832348	2832348	33.000000	2712	2631
GCA_900636395.1	PRJEB6403	SAMEA3499063	1280	1280	Staphylococcus aureus	strain=NCTC6131	latest	Complete Genome	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/636/395/GCA_900636395.1_41665_B01	2792961	2792961	33.000000	3135	3054
GCA_900636695.1	PRJEB6403	SAMEA3724096	1280	1280	Staphylococcus aureus	strain=NCTC1803	latest	Complete Genome	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/636/695/GCA_900636695.1_43874_B01	2836670	2836670	33.000000	2696	2619
GCA_007954465.1	PRJNA544229	SAMN12476193	1280	1280	Staphylococcus aureus	strain=BSN9R	latest	Complete Genome	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/007/954/465/GCA_007954465.1_ASM795446v1	2868644	2868644	32.500000	2937	2782
GCA_004026165.1	PRJNA498007	SAMN10659762	1280	1280	Staphylococcus aureus	strain=PCFH-226	latest	Complete Genome	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/004/026/165/GCA_004026165.1_ASM402616v1	2815599	2815599	33.000000	0	0
GCA_004118995.1	PRJNA515948	SAMN10779666	1280	1280	Staphylococcus aureus	strain=LAC	latest	Complete Genome	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/004/118/995/GCA_004118995.1_ASM411899v1	2878171	2878171	33.000000	2892	2733
GCA_900620245.1	PRJEB29881	SAMEA5099553	1280	1280	Staphylococcus aureus	strain=BPH2947	latest	Complete Genome	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/620/245/GCA_900620245.1_BPH2947	3079932	3079932	33.000000	0	0
GCA_004136235.1	PRJNA377392	SAMN08369795	1280	1280	Staphylococcus aureus	strain=M51	latest	Complete Genome	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/004/136/235/GCA_004136235.1_ASM413623v1	2786527	2786527	33.000000	2929	2771
GCA_004136255.1	PRJNA377392	SAMN08369990	1280	1280	Staphylococcus aureus	strain=M48	latest	Complete Genome	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/004/136/255/GCA_004136255.1_ASM413625v1	3050015	3050015	33.000000	3251	3020
GCA_004153345.1	PRJNA520811	SAMN10868410	1280	1280	Staphylococcus aureus	strain=VB9352	latest	Complete Genome	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/004/153/345/GCA_004153345.1_ASM415334v1	2866554	2866554	33.000000	2960	2605
GCA_004153365.1	PRJNA520817	SAMN10868425	1280	1280	Staphylococcus aureus	strain=VB31683	latest	Complete Genome	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/004/153/365/GCA_004153365.1_ASM415336v1	2841049	2841049	33.000000	2937	2659
GCA_900620215.1	PRJEB29881	SAMEA5099550	1280	1280	Staphylococcus aureus	strain=BPH2760	latest	Complete Genome	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/620/215/GCA_900620215.1_BPH2760	2750105	2750105	33.000000	0	0
GCA_900620225.1	PRJEB29881	SAMEA5099551	1280	1280	Staphylococcus aureus	strain=BPH2819	latest	Complete Genome	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/620/225/GCA_900620225.1_BPH2819	2760664	2760664	33.000000	0	0
GCA_900607245.1	PRJEB29322	SAMEA5047402	1280	1280	Staphylococcus aureus	strain=JKD6009	latest	Complete Genome	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/607/245/GCA_900607245.1_JKD6009	2930439	2930439	33.000000	0	0
GCA_900607305.1	PRJEB29322	SAMEA5047400	1280	1280	Staphylococcus aureus	strain=BPH2056	latest	Complete Genome	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/607/305/GCA_900607305.1_BPH2056	3023304	3023304	32.500000	0	0
GCA_004208595.1	PRJNA515949	SAMN10779665	1280	1280	Staphylococcus aureus	strain=592	latest	Complete Genome	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/004/208/595/GCA_004208595.1_ASM420859v1	2847444	2847444	33.000000	0	0
GCA_004193875.1	PRJNA384205	SAMN06830422	1280	1280	Staphylococcus aureus	strain=C3948	latest	Complete Genome	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/004/193/875/GCA_004193875.1_ASM419387v1	2795888	2795888	33.000000	2924	2766
GCA_900620235.1	PRJEB29881	SAMEA5099552	1280	1280	Staphylococcus aureus	strain=BPH2900	latest	Complete Genome	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/620/235/GCA_900620235.1_BPH2900	2825765	2825765	33.000000	0	0
GCA_900607265.1	PRJEB29322	SAMEA5047398	1280	1280	Staphylococcus aureus	strain=BPH2003	latest	Complete Genome	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/607/265/GCA_900607265.1_BPH2003	3079710	3079710	33.000000	0	0
GCA_900607295.1	PRJEB29322	SAMEA104317472	1280	1280	Staphylococcus aureus	na	latest	Complete Genome	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/607/295/GCA_900607295.1_BPH2869	2980212	2980212	33.000000	0	0
GCA_008462245.1	PRJNA542127	SAMN11611367	1280	1280	Staphylococcus aureus	strain=GD1706	latest	Complete Genome	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/008/462/245/GCA_008462245.1_ASM846224v1	2876350	2876350	33.000000	2915	2738
GCA_900607255.1	PRJEB29322	SAMEA5047399	1280	1280	Staphylococcus aureus	strain=BPH2019	latest	Complete Genome	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/607/255/GCA_900607255.1_BPH2019	2936483	2936483	33.000000	0	0
GCA_004368035.1	PRJNA433086	SAMN08470189	1280	1280	Staphylococcus aureus	strain=2288	latest	Complete Genome	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/004/368/035/GCA_004368035.1_ASM436803v1	2814563	2814563	33.000000	2647	2404
GCA_004421085.1	PRJNA528317	SAMN11179240	1280	1280	Staphylococcus aureus	strain=04-002	latest	Complete Genome	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/004/421/085/GCA_004421085.1_ASM442108v1	2860082	2860082	33.000000	2956	2706
GCA_008619075.1	PRJDB8599	SAMD00180470	1280	1280	Staphylococcus aureus	strain=KUN1163	latest	Complete Genome	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/008/619/075/GCA_008619075.1_ASM861907v1	2944787	2944787	33.000000	2817	2739
GCA_008619935.1	PRJDB8599	SAMD00180475	1280	1280	Staphylococcus aureus	strain=KUH180038	latest	Complete Genome	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/008/619/935/GCA_008619935.1_ASM861993v1	2856677	2856677	32.500000	2707	2625
GCA_004614315.1	PRJNA384212	SAMN06830443	1280	1280	Staphylococcus aureus	strain=JK3137	latest	Complete Genome	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/004/614/315/GCA_004614315.1_ASM461431v1	2955000	2955000	33.000000	3150	2962
GCA_004785995.1	PRJNA531521	SAMN11360115	1280	1280	Staphylococcus aureus	strain=WCUH29	latest	Complete Genome	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/004/785/995/GCA_004785995.1_ASM478599v1	2909934	2909934	33.000000	3064	2890
GCA_004771975.1	PRJNA529247	SAMN11260917	1280	1280	Staphylococcus aureus	strain=O408	latest	Complete Genome	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/004/771/975/GCA_004771975.1_ASM477197v1	2778443	2778443	33.000000	2644	2564
GCA_004772055.1	PRJNA528514	SAMN11229814	1280	1280	Staphylococcus aureus	strain=O331	latest	Complete Genome	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/004/772/055/GCA_004772055.1_ASM477205v1	2695389	2695389	33.000000	2502	2422
GCA_004772215.1	PRJNA528119	SAMN11174937	1280	1280	Staphylococcus aureus	strain=O268	latest	Complete Genome	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/004/772/215/GCA_004772215.1_ASM477221v1	2841948	2841948	33.000000	2719	2629
GCA_004771515.1	PRJNA490898	SAMN10061378	1280	1280	Staphylococcus aureus	strain=B119	latest	Complete Genome	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/004/771/515/GCA_004771515.1_ASM477151v1	2768115	2768115	33.000000	2617	2530
GCA_004771335.1	PRJNA523422	SAMN10977065	1280	1280	Staphylococcus aureus	strain=O217	latest	Complete Genome	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/004/771/335/GCA_004771335.1_ASM477133v1	2764228	2764228	33.000000	2597	2513
GCA_004772175.1	PRJNA528010	SAMN11166132	1280	1280	Staphylococcus aureus	strain=O55	latest	Complete Genome	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/004/772/175/GCA_004772175.1_ASM477217v1	2794042	2794042	33.000000	2668	2570
GCA_005705815.1	PRJNA520768	SAMN11096032	1280	1280	Staphylococcus aureus	strain=Lr6	latest	Complete Genome	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/005/705/815/GCA_005705815.1_ASM570581v1	2784722	2784722	32.500000	2899	2711
GCA_005707335.1	PRJNA520768	SAMN11080949	1280	1280	Staphylococcus aureus	strain=Lr3	latest	Complete Genome	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/005/707/335/GCA_005707335.1_ASM570733v1	2747225	2747225	32.500000	2776	2602
GCA_005707015.1	PRJNA520768	SAMN11096695	1280	1280	Staphylococcus aureus	strain=R50	latest	Complete Genome	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/005/707/015/GCA_005707015.1_ASM570701v1	2868937	2868937	33.000000	3009	2811
GCA_005707215.1	PRJNA520768	SAMN11096191	1280	1280	Staphylococcus aureus	strain=Lr12	latest	Complete Genome	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/005/707/215/GCA_005707215.1_ASM570721v1	2792262	2792262	33.000000	2931	2755
GCA_009739845.1	PRJNA503808	SAMN10374685	1280	1280	Staphylococcus aureus	strain=P1D1C1	latest	Complete Genome	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/009/739/845/GCA_009739845.1_ASM973984v1	2825900	2825900	33.000000	2934	2755
GCA_009740205.1	PRJNA503808	SAMN10374687	1280	1280	Staphylococcus aureus	strain=P1D5C2	latest	Complete Genome	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/009/740/205/GCA_009740205.1_ASM974020v1	2825900	2825900	33.000000	2934	2755
GCA_005885975.1	PRJNA534078	SAMN11476509	1280	1280	Staphylococcus aureus	strain=Col52-A5	latest	Complete Genome	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/005/885/975/GCA_005885975.1_ASM588597v1	2857671	2857671	33.000000	2934	2770
GCA_005890015.1	PRJNA544229	SAMN11823230	1280	1280	Staphylococcus aureus	strain=JKD6004	latest	Complete Genome	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/005/890/015/GCA_005890015.1_ASM589001v1	2936830	2936830	33.000000	3018	2838
GCA_005889995.1	PRJNA544229	SAMN11823229	1280	1280	Staphylococcus aureus	strain=J01	latest	Complete Genome	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/005/889/995/GCA_005889995.1_ASM588999v1	2939272	2939272	33.000000	3045	2881
GCA_009739755.1	PRJNA503808	SAMN10374690	1280	1280	Staphylococcus aureus	strain=P1D8C2	latest	Complete Genome	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/009/739/755/GCA_009739755.1_ASM973975v1	2825900	2825900	33.000000	2934	2755
GCA_009739695.1	PRJNA503808	SAMN10374694	1280	1280	Staphylococcus aureus	strain=P2D1C1	latest	Complete Genome	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/009/739/695/GCA_009739695.1_ASM973969v1	2899723	2899723	33.000000	3021	2835
GCA_009739775.1	PRJNA503808	SAMN10374689	1280	1280	Staphylococcus aureus	strain=P1D8C1	latest	Complete Genome	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/009/739/775/GCA_009739775.1_ASM973977v1	2825894	2825894	33.000000	2934	2755
GCA_009739825.1	PRJNA503808	SAMN10374686	1280	1280	Staphylococcus aureus	strain=P1D5C1	latest	Complete Genome	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/009/739/825/GCA_009739825.1_ASM973982v1	2825900	2825900	33.000000	2934	2755
GCA_009739885.1	PRJNA503808	SAMN10374692	1280	1280	Staphylococcus aureus	strain=P1D12C1	latest	Complete Genome	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/009/739/885/GCA_009739885.1_ASM973988v1	2825707	2825707	33.000000	2934	2755
GCA_005890035.1	PRJNA544229	SAMN11823231	1280	1280	Staphylococcus aureus	strain=D592-HR	latest	Complete Genome	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/005/890/035/GCA_005890035.1_ASM589003v1	2847448	2847448	33.000000	2900	2736
GCA_005954685.1	PRJNA544229	SAMN11823228	1280	1280	Staphylococcus aureus	strain=D592	latest	Complete Genome	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/005/954/685/GCA_005954685.1_ASM595468v1	2847448	2847448	33.000000	2899	2735
GCA_009911965.1	PRJNA528186	SAMN11175633	1280	1280	Staphylococcus aureus	strain=UP_1395	latest	Complete Genome	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/009/911/965/GCA_009911965.1_ASM991196v1	2791374	2791374	33.000000	0	0
GCA_009912095.1	PRJNA528186	SAMN11175628	1280	1280	Staphylococcus aureus	strain=UP_1209	latest	Complete Genome	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/009/912/095/GCA_009912095.1_ASM991209v1	2690371	2690371	33.000000	2642	2502
GCA_009912295.1	PRJNA528186	SAMN11175639	1280	1280	Staphylococcus aureus	strain=UP_1539	latest	Complete Genome	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/009/912/295/GCA_009912295.1_ASM991229v1	2746804	2746804	33.000000	2711	2563
GCA_009912415.1	PRJNA528186	SAMN11175636	1280	1280	Staphylococcus aureus	strain=UP_1484	latest	Complete Genome	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/009/912/415/GCA_009912415.1_ASM991241v1	2712116	2712116	33.000000	2654	2509
GCA_009912495.1	PRJNA528186	SAMN11175627	1280	1280	Staphylococcus aureus	strain=UP_1186	latest	Complete Genome	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/009/912/495/GCA_009912495.1_ASM991249v1	2776423	2776423	33.000000	2766	2605
GCA_009912595.1	PRJNA528186	SAMN11175623	1280	1280	Staphylococcus aureus	strain=UP_1033	latest	Complete Genome	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/009/912/595/GCA_009912595.1_ASM991259v1	2847876	2847876	33.000000	2822	2654
GCA_009912615.1	PRJNA528186	SAMN11175618	1280	1280	Staphylococcus aureus	strain=UP_830	latest	Complete Genome	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/009/912/615/GCA_009912615.1_ASM991261v1	2747791	2747791	33.000000	2716	2587
GCA_009912715.1	PRJNA528186	SAMN11175617	1280	1280	Staphylococcus aureus	strain=UP_818	latest	Complete Genome	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/009/912/715/GCA_009912715.1_ASM991271v1	2896381	2896381	33.000000	2895	2717
GCA_009912815.1	PRJNA528186	SAMN11175603	1280	1280	Staphylococcus aureus	strain=UP_378	latest	Complete Genome	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/009/912/815/GCA_009912815.1_ASM991281v1	2752372	2752372	33.000000	2726	2579
GCA_009912915.1	PRJNA528186	SAMN11175604	1280	1280	Staphylococcus aureus	strain=UP_403	latest	Complete Genome	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/009/912/915/GCA_009912915.1_ASM991291v1	2778350	2778350	33.000000	2760	2626
GCA_009913015.1	PRJNA528186	SAMN11175589	1280	1280	Staphylococcus aureus	strain=UP_844	latest	Complete Genome	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/009/913/015/GCA_009913015.1_ASM991301v1	2897814	2897814	33.000000	2902	2749
GCA_009913115.1	PRJNA528186	SAMN11175590	1280	1280	Staphylococcus aureus	strain=UP_1097	latest	Complete Genome	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/009/913/115/GCA_009913115.1_ASM991311v1	2804489	2804489	33.000000	2784	2629
GCA_009913215.1	PRJNA528186	SAMN11175602	1280	1280	Staphylococcus aureus	strain=UP_338	latest	Complete Genome	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/009/913/215/GCA_009913215.1_ASM991321v1	2814235	2814235	33.000000	2758	2593
GCA_006094915.1	PRJNA514950	SAMN10739543	1280	1280	Staphylococcus aureus	strain=ATCC 12600	latest	Complete Genome	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/006/094/915/GCA_006094915.1_ASM609491v1	2782561	2782561	33.000000	2892	2751
GCA_006158985.1	PRJNA545780	SAMN11928015	1280	1280	Staphylococcus aureus	strain=S15	latest	Complete Genome	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/006/158/985/GCA_006158985.1_ASM615898v1	2822919	2822919	33.000000	2838	2653
GCA_009912075.1	PRJNA528186	SAMN11175645	1280	1280	Staphylococcus aureus	strain=UP_1654	latest	Complete Genome	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/009/912/075/GCA_009912075.1_ASM991207v1	2892590	2892590	33.000000	2873	2699
GCA_009912155.1	PRJNA528186	SAMN11175640	1280	1280	Staphylococcus aureus	strain=UP_1559	latest	Complete Genome	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/009/912/155/GCA_009912155.1_ASM991215v1	2883314	2883314	33.000000	2883	2702
GCA_009912255.1	PRJNA528186	SAMN11175620	1280	1280	Staphylococcus aureus	strain=UP_926	latest	Complete Genome	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/009/912/255/GCA_009912255.1_ASM991225v1	2785465	2785465	33.000000	2762	2596
GCA_009912375.1	PRJNA528186	SAMN11175624	1280	1280	Staphylococcus aureus	strain=UP_1073	latest	Complete Genome	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/009/912/375/GCA_009912375.1_ASM991237v1	2768621	2768621	33.000000	2742	2594
GCA_009912475.1	PRJNA528186	SAMN11175632	1280	1280	Staphylococcus aureus	strain=UP_1352	latest	Complete Genome	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/009/912/475/GCA_009912475.1_ASM991247v1	2948281	2948281	33.000000	2959	2768
GCA_009912555.1	PRJNA528186	SAMN11175619	1280	1280	Staphylococcus aureus	strain=UP_883	latest	Complete Genome	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/009/912/555/GCA_009912555.1_ASM991255v1	2791750	2791750	33.000000	2770	2624
GCA_009912675.1	PRJNA528186	SAMN11175615	1280	1280	Staphylococcus aureus	strain=UP_764	latest	Complete Genome	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/009/912/675/GCA_009912675.1_ASM991267v1	2819041	2819041	33.000000	2778	2603
GCA_009912695.1	PRJNA528186	SAMN11175614	1280	1280	Staphylococcus aureus	strain=UP_719	latest	Complete Genome	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/009/912/695/GCA_009912695.1_ASM991269v1	2786310	2786310	33.000000	2769	2619
GCA_009912775.1	PRJNA528186	SAMN11175612	1280	1280	Staphylococcus aureus	strain=UP_644	latest	Complete Genome	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/009/912/775/GCA_009912775.1_ASM991277v1	2756718	2756718	33.000000	2751	2600
GCA_009912795.1	PRJNA528186	SAMN11175598	1280	1280	Staphylococcus aureus	strain=UP_248	latest	Complete Genome	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/009/912/795/GCA_009912795.1_ASM991279v1	2933430	2933430	33.000000	2934	2758
GCA_009912875.1	PRJNA528186	SAMN11175610	1280	1280	Staphylococcus aureus	strain=UP_591	latest	Complete Genome	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/009/912/875/GCA_009912875.1_ASM991287v1	2741175	2741175	33.000000	2700	2550
GCA_009912895.1	PRJNA528186	SAMN11175594	1280	1280	Staphylococcus aureus	strain=UP_1435	latest	Complete Genome	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/009/912/895/GCA_009912895.1_ASM991289v1	2932277	2932277	33.000000	2942	2790
GCA_009912995.1	PRJNA528186	SAMN11175588	1280	1280	Staphylococcus aureus	strain=UP_774	latest	Complete Genome	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/009/912/995/GCA_009912995.1_ASM991299v1	2824060	2824060	33.000000	2801	2655
GCA_009913095.1	PRJNA528186	SAMN11175593	1280	1280	Staphylococcus aureus	strain=UP_1405	latest	Complete Genome	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/009/913/095/GCA_009913095.1_ASM991309v1	2887396	2887396	33.000000	2892	2746
GCA_009913195.1	PRJNA528186	SAMN11175595	1280	1280	Staphylococcus aureus	strain=UP_1442	latest	Complete Genome	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/009/913/195/GCA_009913195.1_ASM991319v1	2871741	2871741	33.000000	2878	2731
